tic_id,hostname,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_teff,st_tefferr1,st_tefferr2,sy_dist,pl_letter,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,tran_flag,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
"TIC 275569511","Kepler-1127",0.950000,0.150000,-0.074000,0.970000,0.045000,-0.052000,5664.00,89.83,-137.31,842.45900000,"b",5.12330347000,0.00002272000,-0.00002272000,1.96000000,0.31000000,-0.42000000,4.50000000,,,"M-R relationship",88.72000,,,0.000000,,,1,2454965.08566000,0.00350000,-0.00350000
"TIC 271355361","Kepler-616",0.970000,0.132000,-0.076000,0.980000,0.058000,-0.054000,5753.00,133.18,-101.52,945.77500000,"c",90.41135560000,0.00045220000,-0.00045220000,3.41000000,0.57000000,-0.30000000,11.50000000,,,"M-R relationship",89.16000,,,0.000000,,,1,2455041.50399000,0.00380000,-0.00380000
,"OGLE-2019-BLG-1492L",,,,0.680000,0.340000,-0.340000,,,,5600.00000000,"b",,,,6.79000000,,,37.10000000,25.10000000,-19.50000000,"Mass",,,,,,,0,,,
,"MOA-bin-1L",,,,0.750000,0.330000,-0.410000,,,,5100.00000000,"b",,,,13.00000000,,,1200.00000000,670.00000000,-670.00000000,"Mass",,,,,,,0,,,
"TIC 159726546","Kepler-1284",0.790000,0.046000,-0.040000,0.840000,0.040000,-0.044000,5123.00,62.80,-83.53,882.32400000,"b",0.66407380600,0.00000148000,-0.00000148000,1.21000000,0.10000000,-0.07000000,1.92000000,,,"M-R relationship",82.63000,,,0.000000,,,1,2454966.40327000,0.00175000,-0.00175000
"TIC 405337087","HD 4760",42.400000,9.200000,-9.200000,1.050000,0.190000,-0.190000,4076.00,15.00,-15.00,537.87300000,"b",434.00000000000,3.00000000000,-3.00000000000,12.30000000,,,4417.83700000,762.79200000,-762.79200000,"Msini",,,,0.230000,0.090000,-0.060000,0,,,
"TIC 352012975","Kepler-649",0.940000,0.055000,-0.050000,0.970000,0.042000,-0.046000,5871.00,62.24,-54.67,513.74800000,"b",29.90722674000,0.00005373000,-0.00005373000,2.26000000,0.14000000,-0.12000000,5.73000000,,,"M-R relationship",89.97000,,,0.000000,,,1,2455008.29327000,0.00133000,-0.00133000
"TIC 268603980","Kepler-1770",1.009000,0.269000,-0.145000,0.941000,0.104000,-0.085000,5602.00,166.00,-150.00,582.94200000,"b",16.84189987000,,,2.84141754,,,8.45000000,,,"M-R relationship",88.95000,,,0.000000,,,1,2454970.99231000,0.00181000,-0.00181000
"TIC 363549734","HD 99492",0.822539,0.015196,-0.015196,0.850000,0.020000,-0.020000,4929.00,44.00,-44.00,18.20380000,"b",17.05030000000,0.00160000000,-0.00160000000,5.44000000,,,25.50000000,0.60000000,-0.60000000,"Msini",,,,0.034000,0.025000,-0.021000,0,2454297.94000000,0.43000000,-0.35000000
"TIC 63283780","Kepler-210",0.650000,0.033000,-0.033000,0.770000,0.017000,-0.019000,4559.00,100.00,-100.00,232.75000000,"c",7.97251300000,0.00000300000,-0.00000300000,3.62000000,0.19000000,-0.19000000,12.80000000,,,"M-R relationship",85.73000,0.16000,-0.16000,0.000000,,,1,2455004.58436000,0.00020000,-0.00020000
"TIC 122714267","Kepler-122",1.216000,0.239000,-0.239000,0.982000,0.028000,-0.029000,6050.00,137.00,-137.00,1027.45000000,"c",12.46598800000,0.00000900000,-0.00000900000,5.87000000,1.16000000,-1.16000000,29.00000000,,,"M-R relationship",89.39000,,,0.000000,,,1,2454967.00291000,0.00047000,-0.00047000
"TIC 27006192","Kepler-231",0.490000,0.021000,-0.021000,0.580000,0.014000,-0.014000,3767.00,150.00,-150.00,316.61800000,"c",19.27156600000,0.00009900000,-0.00009900000,1.93000000,0.19000000,-0.19000000,24.10000000,13.50000000,-11.20000000,"Mass",89.97000,,,0.000000,,,1,2455019.76907000,0.00327000,-0.00327000
"TIC 63004906","Kepler-245",0.795000,0.053000,-0.053000,0.856000,0.020000,-0.026000,5100.00,100.00,-100.00,861.52700000,"d",36.27710800000,0.00017300000,-0.00017300000,3.03000000,0.21000000,-0.21000000,21.60000000,16.60000000,-12.10000000,"Mass",89.97000,,,0.000000,,,1,2455034.27797000,0.00264000,-0.00264000
"TIC 137555411","Kepler-49",0.618000,0.020000,-0.020000,0.607000,0.014000,-0.014000,4095.60,74.70,-74.70,311.22200000,"c",10.91000000000,,,2.44400000,0.08300000,-0.08200000,8.38000000,0.92000000,-0.89000000,"Mass",88.68000,,,0.008000,0.023000,-0.005000,1,2455002.85250000,0.00100000,-0.00100000
"TIC 123408863","Kepler-1174",1.040000,0.196000,-0.099000,1.040000,0.068000,-0.073000,5936.00,117.34,-103.81,1408.75000000,"b",6.89225223000,0.00002664000,-0.00002664000,1.59000000,0.31000000,-0.16000000,3.15000000,,,"M-R relationship",89.84000,,,0.000000,,,1,2454965.46430000,0.00290000,-0.00290000
"TIC 158394235","Kepler-178",1.066000,0.454000,-0.454000,0.852000,0.030000,-0.026000,5676.00,200.00,-200.00,716.02500000,"b",9.57669400000,0.00002100000,-0.00002100000,2.90000000,1.25000000,-1.25000000,8.75000000,,,"M-R relationship",89.89000,,,0.000000,,,1,2455009.68127000,0.00124000,-0.00124000
"TIC 299218776","Kepler-373",0.845000,0.418000,-0.418000,0.981000,0.028000,-0.025000,5787.00,200.00,-200.00,1090.45000000,"c",16.72594800000,0.00022700000,-0.00022700000,1.24000000,0.62000000,-0.62000000,2.07000000,,,"M-R relationship",89.32000,,,0.000000,,,1,2454976.74868000,0.00671000,-0.00671000
"TIC 138097784","KOI-3503",1.255000,0.034000,-0.033000,0.858000,0.022000,-0.019000,6001.00,60.00,-60.00,887.06400000,"c",31.82800000000,,,1.21000000,0.28000000,-0.09000000,10.36000000,,,"Mass",89.38000,,,0.000000,,,1,2454977.52890000,0.01770000,-0.01770000
