tid,toipfx,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_dist,toi,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
136274063,"1094",2.2800000,0.0900000,-0.0900000,7710.0000000,140.2000000,-140.2000000,426.0030000,"1094.01",0.5971314,0.0000014,-0.0000014,9.0838200,0.9659700,-0.9659700,2459360.1605360,0.001302,-0.001302
375223080,"1095",2.6647301,0.1060100,-0.1060100,7066.0000000,133.7000000,-133.7000000,582.5210000,"1095.01",1.4821386,0.0000014,-0.0000014,13.7339261,0.5647548,-0.5647548,2459307.3859490,0.000265,-0.000265
375225453,"1096",2.8908899,0.1252770,-0.1252770,6553.0000000,136.4000000,-136.4000000,490.2880000,"1096.01",0.9209526,0.0001855,-0.0001855,5.7349089,4.2950416,-4.2950416,2459307.9357700,0.002752,-0.002752
360630575,"1097",0.9800000,0.0400000,-0.0400000,5876.0000000,124.0000000,-124.0000000,79.5561000,"1097.01",9.1885060,0.0000288,-0.0000288,2.1659100,0.1217650,-0.1217650,2459376.4105180,0.001678,-0.001678
360630575,"1097",0.9832150,0.0449925,-0.0449925,5876.0000000,124.0000000,-124.0000000,79.5561000,"1097.02",13.9028391,0.0013871,-0.0013871,2.6136848,1.3332980,-1.3332980,2459344.4618270,0.002610,-0.002610
383390264,"1098",1.1458200,0.0509699,-0.0509699,6153.0000000,194.0000000,-194.0000000,105.0960000,"1098.01",10.1826983,0.0000129,-0.0000129,3.0538057,0.7958977,-0.7958977,2458629.9090820,0.000837,-0.000837
290348383,"1099",0.8000000,0.0600000,-0.0600000,4867.0000000,179.0000000,-179.0000000,23.6060000,"1099.01",6.4410060,0.0000060,-0.0000060,2.5637400,0.1944800,-0.1944800,2460140.2209270,0.000990,-0.000990
281459670,"110",1.1570600,0.0633669,-0.0633669,5943.0000000,,,342.1400000,"110.01",3.1743504,0.0000017,-0.0000017,14.9172256,0.8283901,-0.8283901,2458328.0399340,0.000227,-0.000227
318608749,"1100",1.1484900,0.0522613,-0.0522613,6033.0000000,129.5000000,-129.5000000,205.4300000,"1100.01",20.0731588,0.0000861,-0.0000861,4.0506906,1.0627592,-1.0627592,2459044.4945310,0.002861,-0.002861
271581073,"1101",1.5600000,0.0800000,-0.0800000,5803.5000000,120.9000000,-120.9000000,262.7940000,"1101.01",2.6690300,0.0000100,-0.0000100,9.3682300,0.5008370,-0.5008370,2459058.7927700,0.000730,-0.000730
311890977,"1102",0.6300000,0.0300000,-0.0300000,4138.1000000,94.2000000,-94.2000000,58.0624000,"1102.01",6.6337100,0.0005900,-0.0005900,2.7537500,0.1609300,-0.1609300,2458627.8042300,0.002760,-0.002760
351603103,"1103",3.1300000,,,4437.0000000,124.0000000,-124.0000000,320.2120000,"1103.01",2.9430800,0.0000100,-0.0000100,45.3525000,,,2459037.6555260,0.002636,-0.002636
451599528,"1104",1.3920300,0.0600980,-0.0600980,6058.6000000,110.5000000,-110.5000000,70.0154000,"1104.01",341.2811281,0.0045871,-0.0045871,4.7531892,0.3291192,-0.3291192,2459367.0343270,0.003108,-0.003108
274151135,"1105",0.7600000,0.0600000,-0.0600000,4664.0000000,125.9000000,-125.9000000,79.5225000,"1105.01",10.8680523,0.0000380,-0.0000380,2.9072600,0.2528160,-0.2528160,2460086.9794460,0.003941,-0.003941
